App Init;15;01/27/2018 21:21:42;2.4.0.18342;xamarinios10;iOS;iPhone;11.2.2
App Load;48;01/27/2018 21:21:42;2.4.0.18342;xamarinios10;iOS;iPhone;11.2.2
First Page Load;241;01/27/2018 21:21:42;2.4.0.18342;xamarinios10;iOS;iPhone;11.2.2
BoxViewTest;623;01/27/2018 21:21:42;2.4.0.18342;xamarinios10;iOS;iPhone;11.2.2
LabelTest;657;01/27/2018 21:21:42;2.4.0.18342;xamarinios10;iOS;iPhone;11.2.2
ButtonTest;756;01/27/2018 21:21:42;2.4.0.18342;xamarinios10;iOS;iPhone;11.2.2
ImageTest;781;01/27/2018 21:21:42;2.4.0.18342;xamarinios10;iOS;iPhone;11.2.2
