App Init;15;01/27/2018 21:13:21;2.4.0.280;xamarinios10;iOS;iPhone;11.2.2
App Load;49;01/27/2018 21:13:21;2.4.0.280;xamarinios10;iOS;iPhone;11.2.2
First Page Load;245;01/27/2018 21:13:21;2.4.0.280;xamarinios10;iOS;iPhone;11.2.2
BoxViewTest;627;01/27/2018 21:13:21;2.4.0.280;xamarinios10;iOS;iPhone;11.2.2
LabelTest;657;01/27/2018 21:13:21;2.4.0.280;xamarinios10;iOS;iPhone;11.2.2
ButtonTest;761;01/27/2018 21:13:21;2.4.0.280;xamarinios10;iOS;iPhone;11.2.2
ImageTest;781;01/27/2018 21:13:21;2.4.0.280;xamarinios10;iOS;iPhone;11.2.2
