App Init;128;01/27/2018 21:16:09;2.4.0.18342;monoandroid71;Android;SM-G900F;6.0.1
App Load;571;01/27/2018 21:16:09;2.4.0.18342;monoandroid71;Android;SM-G900F;6.0.1
First Page Load;966;01/27/2018 21:16:09;2.4.0.18342;monoandroid71;Android;SM-G900F;6.0.1
BoxViewTest;284;01/27/2018 21:16:09;2.4.0.18342;monoandroid71;Android;SM-G900F;6.0.1
LabelTest;358;01/27/2018 21:16:09;2.4.0.18342;monoandroid71;Android;SM-G900F;6.0.1
ButtonTest;875;01/27/2018 21:16:09;2.4.0.18342;monoandroid71;Android;SM-G900F;6.0.1
ImageTest;676;01/27/2018 21:16:09;2.4.0.18342;monoandroid71;Android;SM-G900F;6.0.1
