App Init;139;01/09/2018 18:01:40;2.4.0.282;monoandroid71;Android;SM-G900F;6.0.1
App Load;639;01/09/2018 18:01:40;2.4.0.282;monoandroid71;Android;SM-G900F;6.0.1
First Page Load;1078;01/09/2018 18:01:40;2.4.0.282;monoandroid71;Android;SM-G900F;6.0.1
BoxViewTest;275;01/09/2018 18:01:40;2.4.0.282;monoandroid71;Android;SM-G900F;6.0.1
LabelTest;378;01/09/2018 18:01:40;2.4.0.282;monoandroid71;Android;SM-G900F;6.0.1
ButtonTest;864;01/09/2018 18:01:40;2.4.0.282;monoandroid71;Android;SM-G900F;6.0.1
ImageTest;716;01/09/2018 18:01:40;2.4.0.282;monoandroid71;Android;SM-G900F;6.0.1
