App Init;13;01/10/2018 18:56:06;2.4.0.282;xamarinios10;iOS;iPhone;11.2.1
App Load;43;01/10/2018 18:56:06;2.4.0.282;xamarinios10;iOS;iPhone;11.2.1
First Page Load;236;01/10/2018 18:56:06;2.4.0.282;xamarinios10;iOS;iPhone;11.2.1
BoxViewTest;617;01/10/2018 18:56:06;2.4.0.282;xamarinios10;iOS;iPhone;11.2.1
LabelTest;669;01/10/2018 18:56:06;2.4.0.282;xamarinios10;iOS;iPhone;11.2.1
ButtonTest;761;01/10/2018 18:56:06;2.4.0.282;xamarinios10;iOS;iPhone;11.2.1
ImageTest;779;01/10/2018 18:56:06;2.4.0.282;xamarinios10;iOS;iPhone;11.2.1
