App Init;15;01/27/2018 21:29:54;2.4.0.38779;xamarinios10;iOS;iPhone;11.2.2
App Load;46;01/27/2018 21:29:54;2.4.0.38779;xamarinios10;iOS;iPhone;11.2.2
First Page Load;241;01/27/2018 21:29:54;2.4.0.38779;xamarinios10;iOS;iPhone;11.2.2
BoxViewTest;623;01/27/2018 21:29:54;2.4.0.38779;xamarinios10;iOS;iPhone;11.2.2
LabelTest;671;01/27/2018 21:29:54;2.4.0.38779;xamarinios10;iOS;iPhone;11.2.2
ButtonTest;762;01/27/2018 21:29:54;2.4.0.38779;xamarinios10;iOS;iPhone;11.2.2
ImageTest;787;01/27/2018 21:29:54;2.4.0.38779;xamarinios10;iOS;iPhone;11.2.2
