App Init;128;01/27/2018 21:32:44;2.4.0.74863;monoandroid71;Android;SM-G900F;6.0.1
App Load;570;01/27/2018 21:32:44;2.4.0.74863;monoandroid71;Android;SM-G900F;6.0.1
First Page Load;968;01/27/2018 21:32:44;2.4.0.74863;monoandroid71;Android;SM-G900F;6.0.1
BoxViewTest;274;01/27/2018 21:32:44;2.4.0.74863;monoandroid71;Android;SM-G900F;6.0.1
LabelTest;362;01/27/2018 21:32:44;2.4.0.74863;monoandroid71;Android;SM-G900F;6.0.1
ButtonTest;870;01/27/2018 21:32:44;2.4.0.74863;monoandroid71;Android;SM-G900F;6.0.1
ImageTest;676;01/27/2018 21:32:44;2.4.0.74863;monoandroid71;Android;SM-G900F;6.0.1
