App Init;15;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
App Load;45;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
First Page Load;259;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
BoxViewTest;624;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
LabelTest;639;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
ButtonTest;728;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
ImageTest;777;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
NestedStackLayoutTest;241;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
NestedGridLikeStackLayoutTest;238;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
NestedGridStarSizeTest;229;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
NestedGridAutoSizeTest;363;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
NestedGridConstSizeTest;206;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
ListViewTextCellTest;436;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
ListViewImageCellTest;865;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
ListViewEntryCellTest;580;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
ListViewSwitchCellTest;1102;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
ListViewSimpleViewCellTest;989;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
ListViewExtendedViewCellTest;2641;03/06/2018 21:33:02;2.5.0.91635;xamarinios10;iOS;iPhone 6S;11.2.6
