App Init;16;01/27/2018 22:03:04;2.5.0.122203;xamarinios10;iOS;iPhone;11.2.2
App Load;48;01/27/2018 22:03:04;2.5.0.122203;xamarinios10;iOS;iPhone;11.2.2
First Page Load;245;01/27/2018 22:03:04;2.5.0.122203;xamarinios10;iOS;iPhone;11.2.2
BoxViewTest;624;01/27/2018 22:03:04;2.5.0.122203;xamarinios10;iOS;iPhone;11.2.2
LabelTest;666;01/27/2018 22:03:04;2.5.0.122203;xamarinios10;iOS;iPhone;11.2.2
ButtonTest;759;01/27/2018 22:03:04;2.5.0.122203;xamarinios10;iOS;iPhone;11.2.2
ImageTest;794;01/27/2018 22:03:04;2.5.0.122203;xamarinios10;iOS;iPhone;11.2.2
