App Init;139;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
App Load;613;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
First Page Load;1046;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
BoxViewTest;320;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
LabelTest;375;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
ButtonTest;957;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
ImageTest;742;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
NestedStackLayoutTest;1020;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
NestedGridLikeStackLayoutTest;1701;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
NestedGridStarSizeTest;3122;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
NestedGridAutoSizeTest;4559;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
NestedGridConstSizeTest;2824;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
ListViewTextCellTest;3930;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
ListViewImageCellTest;4869;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
ListViewEntryCellTest;4220;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
ListViewSwitchCellTest;4636;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
ListViewSimpleViewCellTest;7227;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
ListViewExtendedViewCellTest;25560;03/06/2018 21:15:39;2.5.0.91635;monoandroid71;Android;SM-G900F;6.0.1
