App Init;95;12/03/2017 14:01:05;2.5.0.91635;monoandroid71;Android
App Load;316;12/03/2017 14:01:05;2.5.0.91635;monoandroid71;Android
First Page Load;577;12/03/2017 14:01:05;2.5.0.91635;monoandroid71;Android
BoxViewTest;131;12/03/2017 14:01:05;2.5.0.91635;monoandroid71;Android
LabelTest;172;12/03/2017 14:01:05;2.5.0.91635;monoandroid71;Android
ButtonTest;267;12/03/2017 14:01:05;2.5.0.91635;monoandroid71;Android
ImageTest;337;12/03/2017 14:01:05;2.5.0.91635;monoandroid71;Android
