App Init;127;01/09/2018 20:08:21;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
App Load;597;01/09/2018 20:08:21;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
First Page Load;988;01/09/2018 20:08:21;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
BoxViewTest;276;01/09/2018 20:08:21;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
LabelTest;342;01/09/2018 20:08:21;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
ButtonTest;825;01/09/2018 20:08:21;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
ImageTest;720;01/09/2018 20:08:21;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
