App Init;135;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
App Load;617;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
First Page Load;1038;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
BoxViewTest;323;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
LabelTest;386;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
ButtonTest;927;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
ImageTest;733;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
NestedStackLayoutTest;925;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
NestedGridLikeStackLayoutTest;1594;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
NestedGridStarSizeTest;2854;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
NestedGridAutoSizeTest;4236;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
NestedGridConstSizeTest;2548;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
ListViewTextCellTest;4101;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
ListViewImageCellTest;4864;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
ListViewEntryCellTest;4077;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
ListViewSwitchCellTest;4191;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
ListViewSimpleViewCellTest;6742;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
ListViewExtendedViewCellTest;23014;03/06/2018 20:53:49;2.4.0.91020;monoandroid71;Android;SM-G900F;6.0.1
